State,nextUnsheltered,overall,unsheltered,population,unemployment
AK,442,1956,317,737498,6.5
AL,1218,3970,1027,4852347,6.1
AR,847,2560,882,2978048,5
AZ,3244,9896,2957,6829676,6.1
CA,78390,115738,73699,38918045,6.2
CO,2939,9953,2819,5450623,3.9
CT,673,4047,626,3587122,5.7
DC,318,7298,544,675400,6.9
DE,51,953,37,941252,4.9
FL,15361,35900,17017,20209042,5.5
GA,5366,13790,5803,10178447,6
HI,4308,7620,3843,1422052,3.6
IA,143,3081,203,3120960,3.8
ID,738,1966,469,1651059,4.2
IL,1854,13177,2714,12858913,6
IN,691,5863,583,6608422,4.8
KS,282,2588,305,2909011,4.2
KY,706,4538,742,4425976,5.3
LA,1141,4081,1191,4664628,6.3
MA,760,21135,593,6794228,4.8
MD,1528,8390,1796,5985562,5.1
ME,120,2372,59,1328262,4.4
MI,960,10516,1072,9931715,5.4
MN,889,7546,841,5482032,3.7
MO,1216,6482,1071,6071732,5
MS,849,1983,842,2988471,6.4
MT,630,1709,872,1030475,4.2
NC,2309,10685,2425,10031646,5.7
ND,216,1305,486,754066,2.8
NE,101,2744,123,1891277,3
NH,143,1445,132,1336350,3.4
NJ,1434,10098,974,8867949,5.8
NM,454,2629,454,2089291,6.5
NV,3927,8743,4215,2866939,6.8
NY,3591,88250,4022,19654666,5.3
OH,1138,11182,1099,11617527,4.9
OK,1020,3777,778,3909500,4.4
OR,8002,13226,7395,4015792,5.6
PA,1675,15421,1428,12784826,5.3
RI,37,1111,36,1056065,6
SC,1690,5354,1896,4891938,6
SD,185,1036,136,853988,3.1
TN,3006,9123,3244,6591170,5.6
TX,6908,23678,7486,27470056,4.4
UT,236,3025,226,2981835,3.6
VA,766,7001,811,8361808,4.5
VT,156,1523,150,625216,3.6
WA,8466,19419,7121,7163657,5.6
WI,410,6057,442,5760940,4.6
WV,135,1835,432,1842050,6.7
WY,366,798,291,585613,4.3
