state,overall,unsheltered
AK,1907,273
AL,3261,1191
AR,2717,1415
AZ,10007,4532
CA,151278,108432
CO,9619,2188
CT,3033,456
DC,6521,608
DE,921,95
FL,28328,12476
GA,10443,3880
GU,875,764
HI,6412,3640
IA,2315,188
ID,2315,985
IL,10199,1889
IN,5471,642
KS,2381,475
KY,4079,779
LA,2941,974
MA,18471,829
MD,6561,1348
ME,2106,95
MI,8575,662
MN,7977,1653
MO,6179,976
MP,1807,1787
MS,1184,486
MT,1357,345
NC,9314,2268
ND,557,12
NE,2365,110
NH,1396,149
NJ,8862,1482
NM,3241,1259
NV,7169,3807
NY,92091,4047
OH,10345,1507
OK,3944,1237
OR,15876,10142
PA,13199,1630
PR,2535,1900
RI,1055,71
SC,4172,1717
SD,995,234
TN,7467,2598
TX,25848,11222
UT,2798,408
VA,5783,859
VI,314,232
VT,1089,114
WA,21577,9557
WI,4538,295
WV,1397,248
WY,548,125
