State,overall,unsheltered,population
AK,1907,273,731545
AL,3261,1191,4903185
AR,2717,1415,3017804
AZ,10007,4532,7278717
CA,151278,108432,39512223
CO,9619,2188,5758736
CT,3033,456,3565287
DC,6521,608,705749
DE,921,95,973764
FL,28328,12476,21477737
GA,10443,3880,10617423
GU,875,764,167294
HI,6412,3640,1415872
IA,2315,188,3155070
ID,2315,985,1787065
IL,10199,1889,12671821
IN,5471,642,6732219
KS,2381,475,2913314
KY,4079,779,4467673
LA,2941,974,4648794
MA,18471,829,6892503
MD,6561,1348,6045680
ME,2106,95,1344212
MI,8575,662,9986857
MN,7977,1653,5639632
MO,6179,976,6137428
MS,1184,486,2976149
MT,1357,345,1068778
NC,9314,2268,10488084
ND,557,12,762062
NE,2365,110,1934408
NH,1396,149,1359711
NJ,8862,1482,8882190
NM,3241,1259,2096829
NV,7169,3807,3080156
NY,92091,4047,19453561
OH,10345,1507,11689100
OK,3944,1237,3956971
OR,15876,10142,4217737
PA,13199,1630,12801989
PR,2535,1900,3193694
RI,1055,71,1059361
SC,4172,1717,5148714
SD,995,234,884659
TN,7467,2598,6829174
TX,25848,11222,28995881
UT,2798,408,3205958
VA,5783,859,8535519
VI,314,232,104578
VT,1089,114,623989
WA,21577,9557,7614893
WI,4538,295,5822434
WV,1397,248,1792147
WY,548,125,578759
