State,overall,unsheltered,population,unemployment
AK,1907,273,731545,6.1
AL,3261,1191,4903185,2.7
AR,2717,1415,3017804,3.6
AZ,10007,4532,7278717,4.6
CA,151278,108432,39512223,3.9
CO,9619,2188,5758736,2.5
CT,3033,456,3565287,3.7
DC,6521,608,705749,5.3
DE,921,95,973764,3.9
FL,28328,12476,21477737,3
GA,10443,3880,10617423,3.2
HI,6412,3640,1415872,2.6
IA,2315,188,3155070,2.7
ID,2315,985,1787065,2.9
IL,10199,1889,12671821,3.7
IN,5471,642,6732219,3.2
KS,2381,475,2913314,3.2
KY,4079,779,4467673,4.3
LA,2941,974,4648794,4.9
MA,18471,829,6892503,2.8
MD,6561,1348,6045680,3.5
ME,2106,95,1344212,2.9
MI,8575,662,9986857,3.9
MN,7977,1653,5639632,3.3
MO,6179,976,6137428,3.3
MS,1184,486,2976149,5.7
MT,1357,345,1068778,3.4
NC,9314,2268,10488084,3.7
ND,557,12,762062,2.4
NE,2365,110,1934408,3.1
NH,1396,149,1359711,2.6
NJ,8862,1482,8882190,3.5
NM,3241,1259,2096829,4.7
NV,7169,3807,3080156,3.8
NY,92091,4047,19453561,4
OH,10345,1507,11689100,4.2
OK,3944,1237,3956971,3.4
OR,15876,10142,4217737,3.7
PA,13199,1630,12801989,4.5
RI,1055,71,1059361,3.5
SC,4172,1717,5148714,2.3
SD,995,234,884659,3.2
TN,7467,2598,6829174,3.3
TX,25848,11222,28995881,3.5
UT,2798,408,3205958,2.3
VA,5783,859,8535519,2.6
VT,1089,114,623989,2.3
WA,21577,9557,7614893,4.3
WI,4538,295,5822434,3.4
WV,1397,248,1792147,5
WY,548,125,578759,3.7
